Layer 1 - Generation Transfomers (Step-Up Transformers),,,,,,,,,,,,,
Transformer ID,From,To,Description,Hv Level (kv),LV Level (kv),,Coordinates,Notes,,,,,
GT-1,GEN-1,TX-1,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-2,GEN-1,TX-2,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-3,GEN-1,TX-3,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-4,GEN-2,TX-4,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-5,GEN-2,TX-5,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-6,GEN-2,TX-6,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-7,GEN-3,TX-7,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-8,GEN-3,TX-8,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-9,GEN-3,TX-9,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-10,GEN-4,TX-10,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-11,GEN-4,TX-11,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-12,GEN-4,TX-12,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-13,GEN-5,TX-13,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-14,GEN-5,TX-14,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-15,GEN-5,TX-15,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-16,GEN-6,TX-16,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-17,GEN-6,TX-17,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-18,GEN-6,TX-18,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-19,GEN-7,TX-19,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-20,GEN-7,TX-20,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-21,GEN-7,TX-21,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-22,GEN-8,TX-22,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-23,GEN-8,TX-23,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-24,GEN-8,TX-24,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-25,GEN-9,TX-25,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-26,GEN-9,TX-26,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-27,GEN-9,TX-27,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
GT-28,GEN-10,TX-28,Main generator step-up transformer,230,13.8,500,"(0,0) → (5,12)",Hydro/Coal/Gas mix,,,,,
GT-29,GEN-10,TX-29,Main generator step-up transformer,230,13.8,450,"(0,0) → (10,5)",Hydro/Coal/Gas mix,,,,,
GT-30,GEN-10,TX-30,Peaking generator step-up transformer,230,13.8,300,"(0,0) → (3,-15)",Hydro/Coal/Gas mix,,,,,
